Designator,Footprint,Quantity,Value,LCSC Part #
RSW3,RotaryEncoder_EC11,1,RotaryEncoder_Switch,
RSW1,RotaryEncoder_EC11,1,RotaryEncoder_Switch,
RSW2,RotaryEncoder_EC11,1,RotaryEncoder_Switch,
SW18,SW_Cherry_MX_2.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW22,SW_Cherry_MX_2.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW20,SW_Cherry_MX_2.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW3,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW11,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW1,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW15,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW4,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW16,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW8,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW5,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW6,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW12,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW10,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW7,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW2,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW13,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW17,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW9,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW14,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW21,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
SW19,SW_Cherry_MX_1.00u_PCB_WITH_SK6812MINI-E,1,SW_Push,
D16,Diode-dual,1,DIODE,
D13,Diode-dual,1,DIODE,
D4,Diode-dual,1,DIODE,
D21,Diode-dual,1,DIODE,
D18,Diode-dual,1,DIODE,
D1,Diode-dual,1,DIODE,
D9,Diode-dual,1,DIODE,
D6,Diode-dual,1,DIODE,
D11,Diode-dual,1,DIODE,
D3,Diode-dual,1,DIODE,
D5,Diode-dual,1,DIODE,
D24,Diode-dual,1,DIODE,
D25,Diode-dual,1,DIODE,
D20,Diode-dual,1,DIODE,
D23,Diode-dual,1,DIODE,
D14,Diode-dual,1,DIODE,
STA2,m2.5 hole,1,m2.5 hole,
D10,Diode-dual,1,DIODE,
D15,Diode-dual,1,DIODE,
D22,Diode-dual,1,DIODE,
D2,Diode-dual,1,DIODE,
STA1,0.91in 128x32 I2C STEMMA QT standoff only,1,0.91in 128x32 I2C STEMMA QT standoff only,
D17,Diode-dual,1,DIODE,
D12,Diode-dual,1,DIODE,
D8,Diode-dual,1,DIODE,
D7,Diode-dual,1,DIODE,
D19,Diode-dual,1,DIODE,
U1,KB2040 through hole hybrid (modified from Elite-C-castellated-24pin-holes),1,KB2040,
STA7,,1,,
STA6,,1,,
STA3,,1,,
STA5,,1,,
STA4,,1,,
